Company Name,Full Description,Description,Founder Name,Founded In,Location,Category,No. of Employees,Company Website,Company Type,Technologies,Business Functions,Business Model,IndiaAI URL
Marut Drones,"This Hyderabad-based startup is developing comprehensive and cost-effective drone-based solutions, complemented with...","This Hyderabad-based startup is developing comprehensive and cost-effective drone-based solutions, complemented with... | Technologies: Recognised as an innovator, problem-solver, and creator in the industry | Type: AgriTech company",Prem Kumar Vislawath is,2019,,,100,https://marutdrones.com,AgriTech,"Recognised as an innovator, problem-solver, and creator in the industry, Marut is pioneering the introduction of emerging technology like IoT, AI, Data Analytics and Machine Learning to the nascent Drone Industry in India. The startup converges young talent and experienced individuals from diverse fields with an aim to build comprehensive solutions for a world that goes beyond better roads, smarter agriculture and safer mines.",,,https://indiaai.gov.in/startup/marut-drones
Qnu Labs,"QNu Labs is a leader in quantum-safe cryptography products and solutions, offering unconditional and forward security...","QNu Labs is a leader in quantum-safe cryptography products and solutions, offering unconditional and forward security... | Technologies: India | Type: Cybersecurity company",,2016,,,42,https://qnulabs.com,Cybersecurity,India,,,https://indiaai.gov.in/startup/qnu-labs
WiJungle,,WiJungle is a  company founded in 2014,Journey of Karmesh Gupta,2014,,,10,https://W.ai,Other,,,,https://indiaai.gov.in/startup/wijungle
shAIp.AI,"Human-in-the-Loop Machine Learning platform to prepare AI/ML training datasets for your Conversational AI, Chatbots,...","Human-in-the-Loop Machine Learning platform to prepare AI/ML training datasets for your Conversational AI, Chatbots,... | Type: SaaS company",,2018,"Gujarat, India",,75,https://s.ai,SaaS,,,,https://indiaai.gov.in/startup/shaip-ai
Constems AI,"Constems AI provides CV-based artificial solutions and immersive solutions such as AR, VR, XR and IoT.","Constems AI provides CV-based artificial solutions and immersive solutions such as AR, VR, XR and IoT. | Technologies: Most of us would be familiar with the “Terminator Vision”, Hollywood’s portrayal of technology at its best. Terminator, T-800 doesn’t have... | Type: IoT company","Amit Singh,",2015,,,10,https://constems-ai.com,IoT,"Most of us would be familiar with the “Terminator Vision”, Hollywood’s portrayal of technology at its best. Terminator, T-800 doesn’t have...",,,https://indiaai.gov.in/startup/constems-ai
Safehouse Technologies,"SafeHouse Technologies provides seamless, multi-device, advanced security for end users, enterprises, and governments.","SafeHouse Technologies provides seamless, multi-device, advanced security for end users, enterprises, and governments. | Technologies: SafeHouse Technologies is a cyber security company, headquartered in Tel-Aviv, Israel with offices in London | Type: Cybersecurity company",,2016,,,10,https://ST.ai,Cybersecurity,"SafeHouse Technologies is a cyber security company, headquartered in Tel-Aviv, Israel with offices in London, UK and Gurgaon, India. Their mission is to deliver proactive military grade security in one button or less. They have developed a core technology in the cloud which acts as a filter between the user and the Internet.",,,https://indiaai.gov.in/startup/safehouse-technologies
Cyclops Medtech,Cyclops Medtech is building clinical and wearable diagnostic and rehab products for neuro vestibular disorders using...,"Cyclops Medtech is building clinical and wearable diagnostic and rehab products for neuro vestibular disorders using... | Technologies: Cyclops Medtech is building clinical and wearable diagnostic as well as rehabilitation products for neuro vestibular disorders using eye-tracking as a technology enabler. Its first product is BalanceEye, a comprehensive balance assessment platform. | Type: SaaS company",we have,2015,,,25,https://cyclopsmedtech.com,SaaS,"Cyclops Medtech is building clinical and wearable diagnostic as well as rehabilitation products for neuro vestibular disorders using eye-tracking as a technology enabler. Its first product is BalanceEye, a comprehensive balance assessment platform.",,,https://indiaai.gov.in/startup/cyclops-medtech
Farmonaut,Farmonaut started in 2018 with a vision to bridge the technological gap between farmers and bring the latest...,Farmonaut started in 2018 with a vision to bridge the technological gap between farmers and bring the latest... | Type: Technology company,About Ankur Omar,,,,38,https://farmonaut.com,Technology,,,,https://indiaai.gov.in/startup/farmonaut
ClearQuote,ClearQuote automates vehicle inspections and damage assessments using Smartphone images and Computer Vision We work...,ClearQuote automates vehicle inspections and damage assessments using Smartphone images and Computer Vision We work... | Type: AI/ML company,Venkat is the Co,,,,25,https://clearquote.io,AI/ML,,,,https://indiaai.gov.in/startup/clearquote
Kratikal,Kratikal is one of the leading cybersecurity companies known for its state-of-the-art security solutions which includes...,Kratikal is one of the leading cybersecurity companies known for its state-of-the-art security solutions which includes... | Type: Cybersecurity company,,2012,,,100,https://K.ai,Cybersecurity,,,,https://indiaai.gov.in/startup/kratikal
BigHaat,BigHaat is India’s largest agri inputs digital marketplace platform providing farmers end to end crop advisory and a...,"BigHaat is India’s largest agri inputs digital marketplace platform providing farmers end to end crop advisory and a... | Technologies: BigHaat is India’s largest agri inputs digital marketplace platform providing farmers end-to-end crop advisory and a wide range of quality inputs such as seeds, pesticides, fertilizers | Type: AgriTech company",Sateesh is the CEO,2015,,,0,https://B.io,AgriTech,"BigHaat is India’s largest agri inputs digital marketplace platform providing farmers end-to-end crop advisory and a wide range of quality inputs such as seeds, pesticides, fertilizers, nutrients and farm implements by leveraging the power of data, science and technology.",,,https://indiaai.gov.in/startup/bighaat
Saarthi.ai,Saarthi.ai is a voice and natural language technology platform for omni channel conversational ai solutions and contact...,"Saarthi.ai is a voice and natural language technology platform for omni channel conversational ai solutions and contact... | Technologies: Saarthi.ai is a voice and natural language technology platform for omni channel conversational ai solutions and contact centre productivity tools in global and low-resourced languages. Our clientele has customers from mobile, broadband and D2H cable networks, online shopping platforms | Type: Fintech company",Vishwa Nath Jha is,,,,20,https://S.ai,Fintech,"Saarthi.ai is a voice and natural language technology platform for omni channel conversational ai solutions and contact centre productivity tools in global and low-resourced languages. Our clientele has customers from mobile, broadband and D2H cable networks, online shopping platforms, hospitals, financial institutions and leading automobile manufacturers.",,,https://indiaai.gov.in/startup/saarthi-ai
Practically,,Technologies: UNIDIR — UN Institute for Disarmament Research | Type: Other company,Meet the team behind Practically,2018,"Telangana, India",,11,https://practically.com,Other,UNIDIR — UN Institute for Disarmament Research,,,https://indiaai.gov.in/startup/practically
Ayu Devices Pvt. Ltd,,"Ayu Devices Pvt. Ltd is a  company founded in 2017, based in Maharashtra, India",,2017,"Maharashtra, India",,3,https://ADPL.io,Other,,,,https://indiaai.gov.in/startup/ayu-devices-pvt-ltd
Augnito,Augnito is an AI-powered medical transcription software,Augnito is an AI-powered medical transcription software | Type: Healthcare company,of Augnito,2020,,,70,https://augnito.ai,Healthcare,,,,https://indiaai.gov.in/startup/augnito
Yellow Messenger,"Yellow Messenger is the world's first cognitive engagement cloud, powering automation led by intelligent virtual...","Yellow Messenger is the world's first cognitive engagement cloud, powering automation led by intelligent virtual... | Technologies: Yellow Messenger provides an enterprise with an AI-platform to build rich conversational experiences for customers and employees. The proprietary technology enables seamless orchestration between bots, applications, and humans; enabling enterprise-ready implementation for managing HR | Type: SaaS company",,2016,"Karnataka, India",,350,https://yellowmessenger.com,SaaS,"Yellow Messenger provides an enterprise with an AI-platform to build rich conversational experiences for customers and employees. The proprietary technology enables seamless orchestration between bots, applications, and humans; enabling enterprise-ready implementation for managing HR, Sales and Marketing, Customer Support and ITSM Automation, across industries. Yellow Messenger’s portfolio includes Telephony Smart Assistant, Chat Smart Assistant, WhatsApp for Business Automation and Omni-Channel Digital Assistant with an integrated engagement suite consisting of AI-enabled ticketing, notifications, user-management to drive enterprise adoption.",,,https://indiaai.gov.in/startup/yellow-messenger
FluxGen Engineering Technologies Private Limited,,Type: Technology company,,2015,"Karnataka, India",,28,https://FETPL.in,Technology,,,,https://indiaai.gov.in/startup/fluxgen-engineering-technologies-private-limited
Offers NLP based chatbots.,,"Offers NLP based chatbots. is a  company founded in 2012, based in Maharashtra, India",,2012,"Maharashtra, India",,50,https://forums.redflagdeals.com/skip-metro-vancouver-bc-restaurants-bogo-pickup-preferred-offers-can-stacked-skip-codes-updated-6-15-2751188/,AI/ML,,,,https://indiaai.gov.in/startup/light-information-systems-nlpbots
Devnagri,"An AI powered human translation platform, working in all 22 Indian languages.","An AI powered human translation platform, working in all 22 Indian languages. | Type: SaaS company",of Devnagri,2011,"Delhi, India",,12,https://devnagri.com,SaaS,,,,https://indiaai.gov.in/startup/devnagri
Farms2Fork Pvt. Ltd.-CultYvate,Augmenting crop yields with its sophisticated farming solution.,"Augmenting crop yields with its sophisticated farming solution. | Technologies: CultYvate is India's foremost precision Ag Tech startup which aims to enhance agriculture productivity for marginal farmers. CultYvate's mission is to increase crop yield while reducing farm inputs with help of precision farming technology. CultYvate is a platform, that integrates IoT, Artificial Intelligence | Type: AgriTech company",,2016,"Karnataka, India",,12,https://FPL.com,AgriTech,"CultYvate is India's foremost precision Ag Tech startup which aims to enhance agriculture productivity for marginal farmers. CultYvate's mission is to increase crop yield while reducing farm inputs with help of precision farming technology. CultYvate is a platform, that integrates IoT, Artificial Intelligence, Satellite, Machine Learning and various crop models. With CultYvate, farmers can save up to 40% of water while improving the crop productivity by 60%.",,,https://indiaai.gov.in/startup/farms2fork-pvt-ltd-cultyvate
OncoStem Diagnostics Pvt. Ltd,,"Technologies: Undoubtedly, AI is becoming a key technology in many sectors. The way we looked at this technology a decade back is no longer valid. The... | Type: Healthcare company",,2011,"Karnataka, India",,29,https://ODPL.com,Healthcare,"Undoubtedly, AI is becoming a key technology in many sectors. The way we looked at this technology a decade back is no longer valid. The...",,,https://indiaai.gov.in/startup/oncostem-diagnostics-pvt-ltd
KayaDev AI Private Limited,A Data Science & Automation firm providing AI enabled automation solutions.,A Data Science & Automation firm providing AI enabled automation solutions. | Type: Other company,,2018,"Karnataka, India",,17,https://KAPL.com,Other,,,,https://indiaai.gov.in/startup/kayadev-ai-private-limited
SenseGiz Technologies,Digital solution for enforcing social distancing and contact tracking for enterprise use,"Digital solution for enforcing social distancing and contact tracking for enterprise use | Technologies: Venture Capital Fund are the most recent investors. It has raised a total of $679.1K in funding over 2 rounds. It has received several awards such as National Entrepreneurship Award 2017, CISCO Launchpad Cohort-2017, IESA - Technovation Awards 2014 for Most Promising Start-up Award | Type: Technology company",,2018,,,31,https://ST.ai,Technology,"Venture Capital Fund are the most recent investors. It has raised a total of $679.1K in funding over 2 rounds. It has received several awards such as National Entrepreneurship Award 2017, CISCO Launchpad Cohort-2017, IESA - Technovation Awards 2014 for Most Promising Start-up Award, Top startup award by Maruti Suzuki and NIPP Mobility Challenge 2020.",,,https://indiaai.gov.in/startup/sensegiz-technologies
NeeWee,,Technologies: and Services | Type: Other company,is Harsimrat Bhasin,2014,"Karnataka, India",,44,https://neewee.ai,Other,and Services,,,https://indiaai.gov.in/startup/neewee
SwitchOn,,"SwitchOn is a  company founded in 2017, based in Karnataka, India",,2017,"Karnataka, India",,20,https://switchon.io,Other,,,,https://indiaai.gov.in/startup/switchon
Wesense.ai,,"Wesense.ai is a  company founded in 2017, based in Karnataka, India",,2017,"Karnataka, India",,18,https://W.ai,Other,,,,https://indiaai.gov.in/startup/wesense-ai
Techforce.ai,,Type: Technology company,Sriram is Co,2017,"Telangana, India",,50,https://T.io,Technology,,,,https://indiaai.gov.in/startup/techforce-ai
Tiger Analytics,,"Technologies: Tiger Analytics offers data analytics and predictive modelling solutions for retail, social media, and online advertising sectors. Tiger Analytics is pioneering what AI and analytics can do to solve some of the toughest problems faced by organizations globally. They develop bespoke solutions powered by data and technology for several Fortune 500 companies. The company is headquartered in San Jose | Type: Media company",Mahesh Kumar,2010,,,656,https://tigeranalytics.com,Media,"Tiger Analytics offers data analytics and predictive modelling solutions for retail, social media, and online advertising sectors. Tiger Analytics is pioneering what AI and analytics can do to solve some of the toughest problems faced by organizations globally. They develop bespoke solutions powered by data and technology for several Fortune 500 companies. The company is headquartered in San Jose, California and have offices in multiple cities across the US, India, and Singapore.",,,https://indiaai.gov.in/startup/tiger-analytics
Cardiotrack,,"Cardiotrack is a  company founded in 2014, based in Karnataka, India",,2014,"Karnataka, India",,22,https://cardiotrack.io,IoT,,,,https://indiaai.gov.in/startup/cardiotrack
Shapecrunch,,"Technologies: Shapecrunch makes 3D printed Custom orthotics Insoles for flat feet, plantar fasciitis, diabetes from foot pictures. It is reinventing orthotics & prosthetics with 3D Printing & Shapecrunch's Mobile app | Type: AI/ML company",,2015,"Delhi, India",,8,https://shapecrunch.com,AI/ML,"Shapecrunch makes 3D printed Custom orthotics Insoles for flat feet, plantar fasciitis, diabetes from foot pictures. It is reinventing orthotics & prosthetics with 3D Printing & Shapecrunch's Mobile app, makes 3D model from foot photos using Computer Vision & machine learning. Shapecrunch's mobile app just needs 3-foot photos and using computer vision and machine learning algorithm it converts the pics into 3D Model which is then 3D Printed. Mobile app eliminates the scanner requirement for Doctors and 3D Printing lowers the cost. The same technology can be used for making prosthetics and even custom footwear too.",,,https://indiaai.gov.in/startup/shapecrunch
CoRover,,"Technologies: CoRover, Conversational AI Platform, with proprietary cognitive AI technology | Type: SaaS company",Ankush Sabharwal is,2016,"Karnataka, India",,20,https://corover.ai,SaaS,"CoRover, Conversational AI Platform, with proprietary cognitive AI technology, offers managed Chatbot as a Service (with Self-Onboarding support as well) to help enterprises generate revenue, save cost, improve customer experience and operational efficiency.",,,https://indiaai.gov.in/startup/corover
SatSure,,"SatSure is a  company founded in 2016, based in Karnataka, India",Abhishek Raju,2016,"Karnataka, India",,32,https://satsure.ai,Other,,,,https://indiaai.gov.in/startup/satsure
Str8bat Sports Tech Solutions Pvt. Ltd.,Wearables that help players improve their skills,"Wearables that help players improve their skills | Technologies: Str8bat is a sports Wearable company that helps player to improve and play better. It is designed to give a player instant, visual and actionable insights into his game by using state-of-art motion sensors through IoT based technology. It helps the player identify his strengths and areas of improvement on a real time basis to help him achieve those heights. It also tracks the improvement on an ongoing basis and helps the player compare how he has fared against his role model. They do this through a cutting-edge AI engine which automatically identifies the shot types played and helps the player focus on those aspects of his game which needs attention. They aim to empower every cricketer on this planet with enough intelligence to ensure that he or she realises their dream. | Type: IoT company",,2017,"Karnataka, India",,11,https://on4t.com/blog/being-homepage-quiz,IoT,"Str8bat is a sports Wearable company that helps player to improve and play better. It is designed to give a player instant, visual and actionable insights into his game by using state-of-art motion sensors through IoT based technology. It helps the player identify his strengths and areas of improvement on a real time basis to help him achieve those heights. It also tracks the improvement on an ongoing basis and helps the player compare how he has fared against his role model. They do this through a cutting-edge AI engine which automatically identifies the shot types played and helps the player focus on those aspects of his game which needs attention. They aim to empower every cricketer on this planet with enough intelligence to ensure that he or she realises their dream.",,,https://indiaai.gov.in/startup/str8bat-sports-tech-solutions-pvt-ltd
Gnani.ai,,"Gnani.ai is a  company founded in 2016, based in Karnataka, India",Ganesh Gopalan,2016,"Karnataka, India",,36,https://www.gnani.ai/,Other,,,,https://indiaai.gov.in/startup/gnani-ai
DataVal Analytics,,"DataVal Analytics is a  company founded in 2016, based in Karnataka, India",,2016,"Karnataka, India",,5,https://DA.io,Other,,,,https://indiaai.gov.in/startup/dataval-analytics
JioVio Healthcare,,"Technologies: JioVio Healthcare focuses on providing a positive pregnancy with its innovation in healthcare technology. They help hospitals to provide personalized and predictive maternal care using AI, IoT and wearable technology. They have developed solutions to address the different needs of pregnant women in urban and rural markets. In this effort, they have also partnered with hospitals and governments. The company was founded in 2016 by Sundar Jagannathan | Type: Healthcare company",He is the,2016,"Karnataka, India",,7,https://JH.ai,Healthcare,"JioVio Healthcare focuses on providing a positive pregnancy with its innovation in healthcare technology. They help hospitals to provide personalized and predictive maternal care using AI, IoT and wearable technology. They have developed solutions to address the different needs of pregnant women in urban and rural markets. In this effort, they have also partnered with hospitals and governments. The company was founded in 2016 by Sundar Jagannathan, Senthil Kumar and Divya Krishnan. It has designed projects such as ‘SaveMom’ and ‘Olivewear Pvt. Ltd’.",,,https://indiaai.gov.in/startup/jiovio-healthcare
Julia Computing,,Julia Computing is a  company founded in 2015,,2015,,,40,https://juliacomputing.com,Other,,,,https://indiaai.gov.in/startup/julia-computing
Fluid Robotics Pvt Ltd,,Technologies: and Services | Type: Other company,,2016,"Maharashtra, India",,12,https://FRPL.com,Other,and Services,,,https://indiaai.gov.in/startup/fluid-robotics-pvt-ltd
Sequretek,,"Sequretek is a  company founded in 2013, based in Maharashtra, India",,2013,"Maharashtra, India",,340,https://S.ai,Other,,,,https://indiaai.gov.in/startup/sequretek
Enalytix,A SaaS platform helping business to add AI to their video feeds and images,A SaaS platform helping business to add AI to their video feeds and images | Technologies: and Services | Type: SaaS company,Neerja is the Co,2010,"Delhi, India",,60,https://enalytix.com,SaaS,and Services,,,https://indiaai.gov.in/startup/enalytix
EvueMe Selection Robot,"AI Powered Skills Assessment Platform helping you with 100% Remote; Reliable, Fast and 24X7 selection, using friendly...","AI Powered Skills Assessment Platform helping you with 100% Remote; Reliable, Fast and 24X7 selection, using friendly... | Technologies: and TiE. | Type: SaaS company",Says Rupak Agarwal,2016,"Delhi, India",,10,https://ESR.com,SaaS,and TiE.,,,https://indiaai.gov.in/startup/evueme-selection-robot
Invento Robotics,,"Invento Robotics is a  company founded in 2016, based in Karnataka, India",Balaji Viswanathan has,2016,"Karnataka, India",,35,https://IR.com,Other,,,"We are the only Indian company with a commercial humanoid that move around an office floor. We combine a range of Artificial Intelligence tools - face recognition, speech recognition and navigation - and use that to deliver value to enterprises in customer interaction and security. We offer both an outright sales model as well as a monthly rental model for our customers. Both the software and hardware parts of our business model are fully scalable - as we sell products and not services. We can build 100s of robots per month at our factory in construction and the software is scalable too.",https://indiaai.gov.in/startup/invento-robotics
NaturalText,,"NaturalText is a  company founded in 2015, based in Tamil Nadu, India",Rajasankar Viswanathan has,2015,"Tamil Nadu, India",,4,https://naturaltext.com,Other,,,,https://indiaai.gov.in/startup/naturaltext
AskSid AI,Conversational AI solution for retail helping global retail brands improve P&L.,Conversational AI solution for retail helping global retail brands improve P&L. | Technologies: Solutions | Type: Other company,,2020,"Karnataka, India",,0,https://www.la-meije.com/,Other,Solutions,,,https://indiaai.gov.in/startup/asksid-ai
Embibe,AI powered learning and score improvement platform.,"AI powered learning and score improvement platform. | Technologies: also known as MeitY, has been one of the most important executive agencies of the... | Type: SaaS company",,,,,200,https://embibe.com,SaaS,"also known as MeitY, has been one of the most important executive agencies of the...",,,https://indiaai.gov.in/startup/embibe
mFine,Redefining the delivery system of primary healthcare in India by providing online consultations & health checks at home.,"Redefining the delivery system of primary healthcare in India by providing online consultations & health checks at home. | Technologies: As CTO of Paisabazaar, Sharma is deeply involved in the day to day application of technology solutions to enable financial inclusion, and... | Type: Fintech company",,,"Karnataka, India",,209,https://mfine.ai,Fintech,"As CTO of Paisabazaar, Sharma is deeply involved in the day to day application of technology solutions to enable financial inclusion, and...",,,https://indiaai.gov.in/startup/mfine
Vehant Technologies Pvt. Ltd.,Vehant Technologies is a leading Artificial Intelligence/ Machine Learning focusing company that develops...,Vehant Technologies is a leading Artificial Intelligence/ Machine Learning focusing company that develops... | Type: AI/ML company,,2005,"UP, India",,250,https://VTPL.in,AI/ML,,,,https://indiaai.gov.in/startup/vehant-technologies-pvt-ltd
Value3 Advisory,"Independent, Predictive and Automated platform for Corporate Credit Ratings, Research, News, Early Warnings Indicators...","Independent, Predictive and Automated platform for Corporate Credit Ratings, Research, News, Early Warnings Indicators... | Technologies: They leverage cutting edge technology and application of artificial intelligence to combine financial data with alternative data sets like macroeconomics, geopolitical events, industry trends and patterns | Type: Fintech company",,2018,"Maharashtra, India",,21,https://VA.com,Fintech,"They leverage cutting edge technology and application of artificial intelligence to combine financial data with alternative data sets like macroeconomics, geopolitical events, industry trends and patterns, news flow and more to transform data overload into actionable insights. They cover more than 40K companies across 30+ industry sectors and 20+ countries along with support for multiple international languages.",,,https://indiaai.gov.in/startup/value3-advisory
CASHe,"CASHe is a leading alternate-lending company using AI to extend credit to under-banked millenials, promoting a rapid...","CASHe is a leading alternate-lending company using AI to extend credit to under-banked millenials, promoting a rapid... | Type: Fintech company",,2020,"Maharashtra, India",,170,https://cashe.com,Fintech,,,,https://indiaai.gov.in/startup/cashe
Yugasa Software Labs,Provide custom software solution around Artificial Intelligence and Machine Learning,Provide custom software solution around Artificial Intelligence and Machine Learning | Type: AI/ML company,Yugasa is an award,2015,"Haryana, India",,45,https://YSL.com,AI/ML,,,,https://indiaai.gov.in/startup/yugasa-software-labs
Mitosis Technologies,,Type: Technology company,Sathiyan Sivaprakasam,2013,,,70,https://MT.com,Technology,,,,https://indiaai.gov.in/startup/mitosis-technologies
ZestMoney,ZestMoney is the largest and fastest-growing AI-driven EMI financing platform in India.,"ZestMoney is the largest and fastest-growing AI-driven EMI financing platform in India. | Technologies: ZestMoney is the largest and fastest-growing AI-driven EMI financing platform in India. The fintech company has built a platform that can meaningfully improve the lives of more than 300 million households who currently have no access to credit cards or other formal financing options due to insufficient credit history. Built using cutting edge technology, including a completely digital, automated back-end with an AI-based machine learning decision engine | Type: Fintech company",This week,2015,,,270,https://zestmoney.in,Fintech,"ZestMoney is the largest and fastest-growing AI-driven EMI financing platform in India. The fintech company has built a platform that can meaningfully improve the lives of more than 300 million households who currently have no access to credit cards or other formal financing options due to insufficient credit history. Built using cutting edge technology, including a completely digital, automated back-end with an AI-based machine learning decision engine, this is the leading platform for the disbursal of automated small-ticket loans.",,,https://indiaai.gov.in/startup/zestmoney
Awiros,,"Technologies: Incorporated in 2015, Awiros is making it possible for everyone to build as well as utilize the most advanced applications of Computer Vision and AI in their everyday lives using its app-oriented open and unified Operating System model. With a stellar team of researchers and engineers, our constant endeavor is to push the boundaries of technology while delivering great value to our customers. | Type: AI/ML company",,2015,"Haryana, India",,20,https://awiros.com,AI/ML,"Incorporated in 2015, Awiros is making it possible for everyone to build as well as utilize the most advanced applications of Computer Vision and AI in their everyday lives using its app-oriented open and unified Operating System model. With a stellar team of researchers and engineers, our constant endeavor is to push the boundaries of technology while delivering great value to our customers.",,,https://indiaai.gov.in/startup/awiros
Smartail Pvt. Ltd.,EdTech startup building on AI based solution,EdTech startup building on AI based solution | Type: EdTech company,,2019,"Karnataka, India",,10,https://SPL.com,EdTech,,,,https://indiaai.gov.in/startup/smartail-pvt-ltd
Rezo.ai,"Rezo is an AI-powered platform that automates conversations over Voice, emails, WhatsApp, social media, and chats.","Rezo is an AI-powered platform that automates conversations over Voice, emails, WhatsApp, social media, and chats. | Type: Media company",As the Co,2017,,,15,https://R.ai,Media,,,,https://indiaai.gov.in/startup/rezo-ai
Photospimedx Pvt. Ltd.,,"Technologies: They are budding healthcare technology startup incorporated as PhotoSpIMeDx Pvt. Ltd. incubated at SIIC, IIT Kanpur. They are involved in the research and development of innovative diagnostic devices. | Type: Healthcare company",,2020,,,0,https://PPL.io,Healthcare,"They are budding healthcare technology startup incorporated as PhotoSpIMeDx Pvt. Ltd. incubated at SIIC, IIT Kanpur. They are involved in the research and development of innovative diagnostic devices.",,,https://indiaai.gov.in/startup/photospimedx-pvt-ltd
Ai-Bharata,,"Ai-Bharata is a  company founded in 2019, based in Karnataka, India",,2019,"Karnataka, India",,13,https://A.io,Other,,,,https://indiaai.gov.in/startup/ai-bharata
Wobot Intelligence,Wobot Intelligence is a deep learning video analytics platform that provides plug and play operation monitoring modules...,Wobot Intelligence is a deep learning video analytics platform that provides plug and play operation monitoring modules... | Type: SaaS company,Adit Chhabra,2017,"New Delhi, India",,50,https://help.wobot.ai/en/article/what-is-wobotai-gmbkg/,SaaS,,,,https://indiaai.gov.in/startup/wobot-intelligence
TagHive Inc,"TagHive Inc., incorporated on April 25, 2017, is a Samsung-funded education technology company with headquarters in...","TagHive Inc., incorporated on April 25, 2017, is a Samsung-funded education technology company with headquarters in... | Technologies: TagHive Inc., incorporated on April 25, 2017 | Type: EdTech company",Pankaj Agarwal,2017,"West Bengal, India",,11,https://TI.com,EdTech,"TagHive Inc., incorporated on April 25, 2017, is a Samsung-funded education technology company with headquarters in South Korea and an office in India. The company’s offerings include clicker-based classroom response systems and AI-powered self-assessment solutions. The company offers its clicker solution under the “Class Saathi” brand in India and under the “Class Key” brand elsewhere.",,,https://indiaai.gov.in/startup/taghive-inc
DeepBrainz,,"Technologies: Startup Company with an International or Global Team. DeepBrainz AI, A Next-Gen Integrated End-to-End Autonomous AI (AutoML) Platform & AI-first SaaS with Edge IoT Platform for Autonomous Healthcare, Connected & Level-4 Autonomous Driving Vehicles | Type: SaaS company",Arunkumar Venkataramanan holds,2020,"Karnataka, India",,0,https://deepbrainz.com,SaaS,"Startup Company with an International or Global Team. DeepBrainz AI, A Next-Gen Integrated End-to-End Autonomous AI (AutoML) Platform & AI-first SaaS with Edge IoT Platform for Autonomous Healthcare, Connected & Level-4 Autonomous Driving Vehicles, Conversational AI for Everyone from Enterprises to End-users. DeepBrainz offers Data & AI/ML Solutions, Services ranging from Healthcare's Medical Diagnosis & Treatment to Level-4 Autonomous Driving to Conversational AI along with various features for solving Uncertainty & Bias in AI, enhancing ML Model's Transparency, Generalizability, Security, and Privacy, for Enabling Human Lives Globally, Socially & Economically.",,,https://indiaai.gov.in/startup/deepbrainz
GRAINPAD Private Limited,,"Technologies: GRAINPAD is a body dedicated to performing and promoting research, innovation and progress in the fields of genetics, robotics | Type: Healthcare company",,2017,,,10,https://GPL.com,Healthcare,"GRAINPAD is a body dedicated to performing and promoting research, innovation and progress in the fields of genetics, robotics, artificial intelligence, nanotechnology, physics, astronomy and 3D bio-printing and everything connected to them specially to promote healthcare and improve the quality of life of all humans and every living being on earth and beyond. It wishes to take us all to a better and higher level of being and to make planet earth a better place to live on. GRAINPAD wishes to take humanity to the next level.",,,https://indiaai.gov.in/startup/grainpad-private-limited
Constems-AI Systems Pvt Ltd,Artificial Intelligence Vision Based B2B Platform,Artificial Intelligence Vision Based B2B Platform | Type: SaaS company,,2017,,,19,https://CSPL.in,SaaS,,,,https://indiaai.gov.in/startup/constems-ai-systems-pvt-ltd
vPhrase Analytics Solutions Pvt. Ltd.,vPhrase is an AI based platform that communicates a data to multiple languages.,"vPhrase is an AI based platform that communicates a data to multiple languages. | Technologies: Phrazor is deployed across multiple domains like banks, brokerage firms, healthcare | Type: Media company",,,"Maharashtra, India",,29,https://vASPL.in,Media,"Phrazor is deployed across multiple domains like banks, brokerage firms, healthcare, CPG companies, media and entertainment. The technology integrates with the client's system with the help of API and in some cases; the company provides an on-premise installation as well. The firm extends its services in the fields of quarterly earning analysis, stories, sales points from mutual fund fact-sheets, performance appraisal reports and many more.",,,https://indiaai.gov.in/startup/vphrase-analytics-solutions-pvt-ltd
Garuda Aerospace Pvt Ltd,,Technologies: India | Type: Other company,,2015,,,45,https://GAPL.com,Other,India,,,https://indiaai.gov.in/startup/garuda-aerospace-pvt-ltd
Videonetics Technology Pvt. Ltd.,World’s first AI & DL powered Unified Video Computing Platform™ development company.,World’s first AI & DL powered Unified Video Computing Platform™ development company. | Technologies: Pvt. Ltd. | Type: SaaS company,,2008,,,47,https://VTPL.in,SaaS,Pvt. Ltd.,,"With VCPaaS™, users can enjoy video management and intelligent surveillance on the cloud, anytime, anywhere. The Intelligent Video Analytics framework is an integral part of the cloud stack. For the service providers, it offers a new and better business model, with its ongoing, subscription-based revenue stream. It is also cost-effective, secure and easy to maintain. For subscribers, it allows them to get started without having to invest in servers and offers a wide choice of subscription plans. It comes with a mobile app to view, record, share video clips, rich insights from video analytics, and low bandwidth streaming.",https://indiaai.gov.in/startup/videonetics-technology-pvt-ltd
Myelin Foundry,,Technologies: The transformative power of technology will one of the most striking memories of the pandemic era. | Type: Technology company,Gopichand Katragadda is the,2019,,,20,https://myelinfoundry.com,Technology,The transformative power of technology will one of the most striking memories of the pandemic era.,,,https://indiaai.gov.in/startup/myelin-foundry
Eugenie.ai,Eugenie is an AI-powered predictive maintenance solution for Industry 4.0,Eugenie is an AI-powered predictive maintenance solution for Industry 4.0 | Type: Other company,,,"Maharashtra, India",,12,https://E.ai,Other,,,,https://indiaai.gov.in/startup/eugenie-ai
